Day,DoWeek,hour,count,passed,period,data,ServiceID_0,ServiceID_1,ServiceID_3,ServiceID_4,ServiceID_5,ServiceID_6,ServiceID_7,ServiceID_8,ServiceID_9,ServiceID_10,ServiceID_11
2022-02-13,6,12,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-02-13,6,14,3016,3013,63.0,600.8020557029178,0,0,0,0,0,0,1,0,0,0,0
2022-02-13,6,23,1088,1087,63.0,600.4016544117648,0,0,0,0,0,0,1,0,0,0,0
2022-02-14,0,0,1013,1012,63.0,600.1816386969398,0,0,0,0,0,0,1,0,0,0,0
2022-02-14,0,8,2587,2584,63.0,608.3165829145729,0,0,0,0,0,0,1,0,0,0,0
2022-02-14,0,9,4696,4694,63.0,611.2323253833049,0,0,0,0,0,0,1,0,0,0,0
2022-02-14,0,10,5489,5484,63.0,608.0657678994353,0,0,0,0,0,0,1,0,0,0,0
2022-02-14,0,10,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-02-14,0,11,1731,1728,63.0,611.1461582900058,0,0,0,0,0,0,1,0,0,0,0
2022-02-14,0,12,4232,4225,63.0,600.9907844990548,0,0,0,0,0,0,1,0,0,0,0
2022-02-14,0,13,4965,4964,63.0,607.8525679758308,0,0,0,0,0,0,1,0,0,0,0
2022-02-14,0,14,3004,3002,63.0,608.0279627163782,0,0,0,0,0,0,1,0,0,0,0
2022-02-14,0,15,5406,5405,63.0,608.0841657417684,0,0,0,0,0,0,1,0,0,0,0
2022-02-14,0,16,5490,5488,63.0,607.3140255009107,0,0,0,0,0,0,1,0,0,0,0
2022-02-14,0,18,3966,3965,63.0,600.5146243066062,0,0,0,0,0,0,1,0,0,0,0
2022-02-14,0,21,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-02-15,1,7,2342,2341,63.0,603.1887275832622,0,0,0,0,0,0,1,0,0,0,0
2022-02-15,1,8,1027,1026,63.0,606.3826679649464,0,0,0,0,0,0,1,0,0,0,0
2022-02-15,1,9,5224,5218,63.0,607.0472817764165,0,0,0,0,0,0,1,0,0,0,0
2022-02-15,1,10,3966,3960,63.0,607.7299546142209,0,0,0,0,0,0,1,0,0,0,0
2022-02-15,1,14,5556,5549,63.0,606.917026637869,0,0,0,0,0,0,1,0,0,0,0
2022-02-15,1,15,5800,5790,63.0,606.9946551724138,0,0,0,0,0,0,1,0,0,0,0
2022-02-15,1,17,4728,4726,63.0,601.3407360406092,0,0,0,0,0,0,1,0,0,0,0
2022-02-15,1,20,3848,3847,63.0,600.4948024948025,0,0,0,0,0,0,1,0,0,0,0
2022-02-15,1,22,1060,1046,63.0,599.172641509434,0,0,0,0,0,0,1,0,0,0,0
2022-02-15,1,23,1351,1309,63.0,598.6276831976314,0,0,0,0,0,0,1,0,0,0,0
2022-02-16,2,7,2315,2314,63.0,603.1326133909288,0,0,0,0,0,0,1,0,0,0,0
